					BDI			DI			Rand			Rand		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
3	1	1	4	2	35,906139	117,794884	299,269928	0,003044	0,014454	0,041448	0,759289	0,803667	0,899467	0	0	0
3	1	15	4	2	35,906139	117,794884	299,269928	0,003044	0,014454	0,041448	0,759289	0,803667	0,899467	0	0	0
3	1	29	4	2	35,763432	49,69986	63,785908	0,003615	0,016337	0,041448	0,716711	0,7684	0,899467	0	0	0
3	2	1	4	2	30,349436	66,431404	137,646027	0,005719	0,021099	0,03868	0,7792	0,825089	0,857778	0	0	0
3	2	15	4	2	30,349436	30,349436	30,349436	0,03868	0,03868	0,03868	0,366667	0,594889	0,857778	0	0	0
3	2	29	4	2	30,349436	66,431404	137,646027	0,005719	0,021099	0,03868	0,7792	0,825089	0,857778	0	0	0
3	3	1	4	2	51,172215	51,172215	51,172215	0,019008	0,019008	0,019008	0,333333	0,560467	0,842578	0	0	0
3	3	15	4	2	51,172215	51,172215	51,172215	0,019008	0,019008	0,019008	0,333333	0,560467	0,842578	0	0	0
3	3	29	4	2	51,172215	51,172215	51,172215	0,019008	0,019008	0,019008	0,333333	0,560467	0,842578	0	0	0
14	1	1	4	2	13,623453	22,605677	30,934519	0,007548	0,026412	0,057893	0,754578	0,760178	0,767911	0	0	0
14	1	15	4	2	13,623453	22,605677	30,934519	0,007548	0,026412	0,057893	0,754578	0,760178	0,767911	0	0	0
14	1	29	4	2	13,623453	22,605677	30,934519	0,007548	0,026412	0,057893	0,754578	0,760178	0,767911	0	0	0
14	4	1	4	2	2,69148	4,95188	9,006235	0,045441	0,088005	0,132194	0,658044	0,689378	0,743822	0	0	0
14	4	15	4	2	2,69148	4,95188	9,006235	0,045441	0,088005	0,132194	0,658044	0,689378	0,743822	0	0	0
14	4	29	4	2	4,597401	11,19549	23,081446	0,021854	0,051028	0,068206	0,635022	0,666467	0,692533	0	0	0
14	7	1	4	2	2,43718	5,241912	9,89375	0,047928	0,129277	0,168225	0,629511	0,676289	0,721867	0	0	0
14	7	15	4	2	2,986017	12,189201	31,484257	0,005937	0,130376	0,317529	0,629511	0,687245	0,736267	0	0	0
14	7	29	4	2	2,43718	5,241912	9,89375	0,047928	0,129277	0,168225	0,629511	0,676289	0,721867	0	0	0
14	10	1	4	2	5,500048	8,902756	12,340925	0,050416	0,063539	0,079798	0,650578	0,689333	0,719644	0	0	0
14	10	15	4	2	5,500048	8,902756	12,340925	0,050416	0,063539	0,079798	0,650578	0,689333	0,719644	0	0	0
14	10	29	4	2	5,500048	8,902756	12,340925	0,050416	0,063539	0,079798	0,650578	0,689333	0,719644	0	0	0
14	13	1	4	2	23,498602	23,766495	24,034388	0,017072	0,020679	0,024286	0,5416	0,635133	0,738489	0	0	0
14	13	15	4	2	23,498602	23,766495	24,034388	0,017072	0,020679	0,024286	0,5416	0,635133	0,738489	0	0	0
14	13	29	4	2	23,498602	23,766495	24,034388	0,017072	0,020679	0,024286	0,5416	0,635133	0,738489	0	0	0
25	1	1	4	2	10,807263	13,49144	16,180101	0,010344	0,018783	0,023494	0,710578	0,7156	0,720889	0	0	0
25	1	15	4	2	10,807263	13,49144	16,180101	0,010344	0,018783	0,023494	0,710578	0,7156	0,720889	0	0	0
25	1	29	4	2	10,521507	12,780439	15,211289	0,013166	0,020274	0,029708	0,710044	0,712867	0,715822	0	0	0
25	7	1	4	2	0,946646	2,788629	4,000058	0,069931	0,202502	0,466422	0,625156	0,653933	0,676533	0	0	0
25	7	15	4	2	0,946646	2,969446	4,436162	0,092268	0,194768	0,466422	0,6536	0,679556	0,705422	0	0	0
25	7	29	4	2	0,946646	2,969446	4,436162	0,092268	0,194768	0,466422	0,6536	0,679556	0,705422	0	0	0
25	13	1	4	2	3,053946	9,049979	12,317183	0,025095	0,03758	0,061389	0,571467	0,662733	0,710667	0	0	0
25	13	15	4	2	3,053946	9,049979	12,317183	0,025095	0,03758	0,061389	0,571467	0,662733	0,710667	0	0	0
25	13	29	4	2	3,053946	9,049979	12,317183	0,025095	0,03758	0,061389	0,571467	0,662733	0,710667	0	0	0
25	19	1	4	2	2,641341	2,780216	2,919091	0,128686	0,131718	0,13475	0,579822	0,665733	0,708978	0	0	0
25	19	15	4	2	2,641341	2,780216	2,919091	0,128686	0,131718	0,13475	0,579822	0,665733	0,708978	0	0	0
25	19	29	4	2	2,641341	2,780216	2,919091	0,128686	0,131718	0,13475	0,579822	0,665733	0,708978	0	0	0
